Data;Produto;Fornecedor;Quantidade Comprada
05/01/2022;Café;Mercado Express;400
05/01/2022;Coxinha;Salgados Gran;500
01/02/2022;Esfiha;Salgados Gran;550
02/02/2022;Enroladinho;Mercado Express;300
06/02/2022;Café;Mercado Express;200
05/03/2022;Refrigerante;Distribuídora KS;600
10/03/2022;Leite ;Mercado Express;200
15/03/2022;Café;Mercado Express;300
04/04/2022;Cerveja;Distribuídora KS;800
10/04/2022;Café;Mercado Express;700
05/05/2022;Hamburguer;Frigorífico Z;400
10/05/2022;Empada;Salgados Gran;500
10/05/2022;Café;Mercado Express;100
02/06/2022;Café;Mercado Express;150
07/06/2022;Chocolate;Mercado Express;350
01/07/2022;Café;Mercado Express;400
05/07/2022;Suco de Laranja;Distribuídora KS;450
10/08/2022;Mini Pizza;Mercado Express;350
21/08/2022;Pão de Queijo;Salgados Gran;300
31/08/2022;Café;Mercado Express;400
02/09/2022;Refrigerante;Distribuídora KS;550
17/09/2022;Frango;Frigorífico Z;100
30/09/2022;Café;Mercado Express;100
20/10/2022;Café;Mercado Express;400
09/11/2022;Água ;Distribuídora KS;150
18/11/2022;Cerveja;Distribuídora KS;400
